Chatgpt-4o-latest-MSA-ALG,Claude-3-5-sonnet-20241022-MSA-ALG,Google-gemini-1.5-pro-MSA-ALG,Gemma2:9b-instruct-q5_0-MSA-ALG,Llama3.1:8b-instruct-q5_0-MSA-ALG
1,0.5,0.5,0,0
1,1,1,0,0
1,1,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0.5,0
1,0.5,1,0,0
1,1,1,0.5,0
1,1,1,0.5,0.5
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0.5
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0.5
1,1,0.5,0.5,0.5
1,1,0.5,0.5,0
1,1,1,0,0
1,1,1,0,0
0.5,0.5,1,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0.5,0
1,1,1,0.5,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
0.5,1,1,0,0
1,1,0.5,0,0
1,1,1,0.5,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,0.5,0.5,0.5,0
1,1,1,0,0
0.5,0.5,1,0.5,0
0.5,1,0.5,0,0
1,1,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0.5
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0.5,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0.5,0
1,1,1,0.5,0
1,1,1,0,0
1,1,0.5,0,0
1,1,0.5,0.5,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
0,1,1,0,0
1,0,1,0,0
1,1,1,0.5,1
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0.5,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0.5,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0.5,0
1,1,1,0,0
1,1,1,0,0
0.5,1,0,0,0
0.5,1,0,0,0.5
1,1,0,0.5,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,0.5,0,0
1,1,1,0,0
0.5,1,1,0.5,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0.5,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0.5
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0.5,0.5
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,0,0,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
0.5,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0,0,0
1,1,1,0,0
1,1,0,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0.5,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0.5,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
0.5,0.5,1,0.5,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0.5,0
1,1,1,0,0
1,1,1,0,0
1,1,0,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0.5,0
0.5,1,0.5,0,0
1,1,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
0,0,0,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0.5,0
1,1,0.5,0,0
1,0,1,0.5,0
1,1,1,0,0
1,1,1,0.5,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0.5,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
0,1,1,0,0
1,1,1,0,0
1,1,1,0.5,0
1,1,0,0,0
1,1,1,0.5,0
1,1,1,0,0
1,1,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
0,0.5,0.5,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
0,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0,0.5,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0.5,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0.5,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
0,1,1,0,0
0.5,1,0.5,0,0
0,1,1,0,0
1,1,1,0,0
1,0,0,0,0
1,1,1,0,0
0.5,1,1,0,0
0.5,0,0.5,0,0
0.5,0.5,1,0,0
1,1,1,0,0
1,0,1,0,0
0,1,1,0,0
1,1,1,0,0
0.5,0,1,0.5,0
0,1,0,0,0
0.5,1,0.5,0,0
1,1,1,0,0
0.5,0.5,1,0,0
1,0,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0.5,0
1,1,1,1,0
1,1,1,0,0
0.5,1,1,0,0.5
1,1,1,0,0
1,1,1,0,0
0.5,0,1,0.5,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,0.5,0,0
0.5,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0.5
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,0.5,1,0,0
1,1,1,0,0
1,0.5,0.5,0,0
1,0.5,1,0,0
1,0.5,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
0,0,0,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,0.5,0.5,0
1,0.5,0,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,0.5,0.5,0
1,1,0.5,0,0
1,1,1,0,0
1,0,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,0.5,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,0,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
0,1,1,0,0
0,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
0,1,1,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,0,0,0
1,1,0.5,0,0
1,1,1,0,0.5
0.5,1,1,0,0
1,1,1,0.5,0
0.5,1,1,0,0
1,0.5,0.5,0,0
1,1,1,0,0
1,1,0,0,0
