Chatgpt-4o-latest-PoS-MSA-ALG,Claude-3-5-sonnet-20241022-PoS-MSA-ALG,Google-gemini-1.5-pro-PoS-MSA-ALG,Gemma2:9b-instruct-q5_0-PoS-MSA-ALG,Llama3.1:8b-instruct-q5_0-PoS-MSA-ALG
0,0.5,0,0,0
0,0,0,0,0
0,0.5,0,0,0
0,0.5,1,0,0
0.5,1,0,0,0
0.5,1,1,0,0
0.5,1,0,0,0
0.5,1,0.5,0,0
0,0.5,0,0,0
0,0.5,1,0,0
0,1,0,0,0
0,0.5,1,0,0
0.5,0.5,1,0,0
0,0.5,0,0,0
1,0.5,1,0.5,0
0,1,0.5,0,0
0,0.5,0.5,0,0
0,0.5,0,0,0
0,0.5,0.5,0,0
0.5,0.5,0.5,0,0
0,1,0.5,0,0
0,0,0,0,0
0,0,0,0,0
0,0.5,0.5,0,0
0,1,0,0,0
0,1,0.5,0,0
0,0,0,0,0
0.5,0.5,0,0,0
0,0.5,0.5,0,0
0,0,0.5,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0,0,0.5,0,0
0,0.5,0,0,0
0,1,1,0,0
0,1,0,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0.5,0,0,0
0.5,1,1,0,0
0,0.5,0.5,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,0,0,0
0,1,0.5,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0.5,1,0.5,0,0
0,1,0,0,0
0,0,0,0,0
0.5,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0.5,0,0,0
0,0,0,0,0
0,0.5,0,0,0
0,0,0,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0.5,1,0.5,0,0
0,1,0.5,0,0
0,0,0.5,0,0
0.5,1,0.5,0,0
1,0.5,0.5,0,0
0,0.5,0.5,0,0
1,1,1,0,0
0,1,0.5,0,0
0.5,0.5,0,0,0
1,0.5,1,0,0
0,1,0,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0,0.5,0.5,0,0
0.5,0,0.5,0,0
0,0,0,0,0
0.5,1,0.5,0,0
0.5,0.5,1,0,0
0.5,0.5,1,0,0
0,1,0,0,0
0,0.5,0.5,0,0
0,0,0,0,0
0,0,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,0.5,0,0
0.5,0.5,0.5,0,0
0.5,1,0.5,0.5,0
0,0,0,0,0
0,1,0.5,0,0
0,1,0,0,0
0,1,0.5,0,0
0,1,0.5,0,0
0,0,0,0,0
0,0,0.5,0,0
0,1,0.5,0,0
0,1,0.5,0,0
0,1,0,0,0
0,0,0,0,0
0.5,0,0.5,0,0
0.5,0.5,0.5,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0.5,1,0.5,0.5,0
0.5,0.5,1,0,0
1,1,1,0,0
0,0.5,0,0,0
0.5,0.5,0,0,0
1,1,0,0,0
0,0.5,0,0,0
0.5,0.5,0.5,1,0
1,1,0,0.5,0
0,1,0,0,0
0,0.5,0.5,0,0
1,0.5,0.5,0,0
1,0.5,1,0,0
0,0.5,0,0,0
0.5,0.5,1,0,0
1,0.5,0,0,0
1,0.5,0,0,0
0,0.5,0,0,0
0.5,0.5,0,0,0
0,1,0.5,0,0
0.5,1,0.5,0,0
0.5,0.5,0.5,0,0
0.5,1,0.5,0,0
0.5,1,1,0,0
0.5,0.5,0,0,0
0,0,0,0,0
1,1,1,0,0
0,0.5,0,0,0
0,1,0.5,0,0
0.5,0.5,0.5,0,0
0,0,0.5,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0.5,0.5,0,0,0
0,0.5,0.5,0,0
0,0.5,0.5,0,0
0.5,0.5,1,0,0
0.5,0.5,0.5,0,0
0.5,1,0.5,1,0
0,0,0.5,0,0
0.5,0.5,0,0,0
0.5,1,1,0,0
0,0,0.5,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0.5,0,0
0.5,1,0.5,0,0
1,1,1,0,0
1,1,0,0,0
1,1,1,0,0
0,0,0.5,0,0
0.5,1,1,0,0
0.5,1,1,0,0
0.5,1,1,0,0
0,0.5,0,0,0
0,1,0.5,0,0
0.5,1,0.5,0.5,0
0.5,1,0.5,0,0
0,1,0.5,0,0
1,1,0.5,0,0
0,1,0,0,0
0.5,1,0,0,0
0,0.5,0,0,0
0.5,1,1,0,0
0.5,0.5,0,0,0
0.5,0.5,0,0,0
1,0.5,0,0,0
0.5,0,1,0,0
0.5,0.5,1,0,0
0,0,0.5,0,0
0,0.5,0.5,0,0
0,0.5,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0.5,0,0
1,0.5,0.5,0,0
0.5,0.5,1,0,0
0,1,0,0,0
0.5,1,0.5,0,0
0,0.5,0,0,0
0.5,0.5,0,0,0
0.5,0.5,0.5,0,0
0,0,0,0,0
0.5,0,0.5,0,0
1,1,0.5,0,0
0,0.5,0,0,0
0,0,0,0,0
0.5,0,0,0,0
0.5,0.5,1,0,0
0.5,1,0,0,0
0.5,1,1,0,0
0,1,0.5,0,0
0,1,0.5,0,0
0,0,0,0,0
0,1,0.5,0,0
0.5,0,0.5,0,0
0,1,0,0,0
0.5,1,1,1,0
1,1,1,0,0
1,0.5,1,0,0
1,1,1,0,0
0,0,0.5,0,0
0,0.5,0,0,0
0,1,0,0,0
0.5,0.5,0.5,0,0
0.5,0.5,0.5,0,0
0.5,1,1,0,0
0.5,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0.5,0.5,0.5,0,0
0.5,1,0,0,0
0,0.5,0,0,0
0,0,0,0,0
0,1,0,0,0
0.5,0.5,0,0,0
0,0.5,0,0,0
0,0,0,0,0
0,0.5,0,0,0
0.5,0,1,0,0
0.5,0.5,0,0,0
0.5,0.5,0.5,0,0
0,1,0,0,0
0,0.5,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
1,1,0,0,0
1,0.5,1,0,0
0,0,0,0,0
0,1,0,0,0
0.5,0.5,0.5,0,0
0,1,0,0,0
0.5,0,0,0,0
1,1,1,0,0
0,0.5,0,0,0
0,1,0.5,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0,0
0,0,0,0,0
1,1,1,0,0
0,1,0,0,0
1,1,1,0,0
1,1,1,0,0
0,0,0,0,0
1,0,0.5,0,0
0.5,1,1,0,0
0.5,0.5,0,0,0
1,1,1,1,0
0.5,1,1,0,0
1,1,1,0,0
0.5,1,1,0,0
0.5,0.5,1,0.5,0
0,0,0,0,0
0.5,0,1,0,0
0,0.5,1,0,0
0,0,0,0,0
0,0.5,0,0,0
0,0.5,1,0,0
0,0.5,0,0,0
1,1,1,0,0
0,0.5,0.5,0,0
0.5,1,1,0,0
0.5,1,0,0.5,0.5
1,1,0.5,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
0.5,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0.5,0,0,0
0.5,1,0.5,0,0
0,0.5,1,0,0
0.5,0.5,0,0,0
0,0,0.5,0,0
0.5,0.5,1,0,0
0.5,1,1,0,0
0.5,1,0,0,0
0,0.5,1,0,0
0.5,0.5,0.5,0,0
0,0.5,0,0,0
0,1,0,0,0
0.5,1,0.5,0,0
0,0,0,0,0
1,1,1,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
0,0,0,0,0
1,1,1,0,0
0,0,0,0,0
1,1,0,0,0
0,1,0,0,0
0,1,0,0,0
1,0.5,0.5,0,0
1,1,1,0,0
0,1,0.5,0,0
0,0,0.5,0,0
0.5,0.5,1,0,0
0,0,0,0,0
0,0.5,0,0,0
0,0,0,0,0
1,1,0,0,0
0.5,1,0.5,0,0
0,1,0.5,0,0
1,1,0,0,0
0,1,0,0,0
0.5,1,0.5,0,0
0.5,0.5,1,0,0
0,0,0,0,0
0.5,0.5,0.5,0,0
0,0,0,0,0
0.5,1,0.5,0,0
0,0,0,0,0
1,1,0,0,0
0,0.5,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0.5,0,0,0
0,1,0,0,0
0,1,1,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0.5,1,1,0,0
0,1,0,0,0
0.5,1,1,0,1
0.5,0.5,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0.5,0.5,0,0,0
0.5,0.5,0,0,0
0,0.5,0,0,0
0.5,0,0.5,0,0
0.5,0,0,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
0.5,1,1,0,0
0,1,0,0,0
0,1,0,0,0
0.5,0,1,0,0
0.5,0.5,0,0,0
1,1,1,0,0
0,0.5,0.5,0,0
1,0,1,0,0
0,0,0,0,0
0.5,0.5,1,0,0
0.5,1,0,0,0
0,1,0,0,0
0.5,1,0.5,0,0
0,0,0,0,0
0,0,0,0,0
0.5,0.5,0,0,0
0.5,0.5,0,0,0
0.5,1,0.5,0,0
0.5,1,0,0,0
0.5,0.5,0.5,0,0
0,1,0,0,0
0,0.5,0,0,0
0,0.5,0,0,0
1,1,1,0,0
1,1,0,0,0
0.5,0.5,0,0,0
0,0,0.5,0,0
1,1,1,0,0
0.5,0,0.5,0,0
0,0,0,0,0
0,0.5,0.5,0,0
0,1,0,0,0
0,0,0,0,0
0.5,1,0.5,0,0
0,0.5,0.5,0,0
0,0.5,0,0,0
0.5,1,1,0,0
0,0.5,0,0,0
1,1,1,0.5,0
0,0.5,0,0,0
1,1,1,0,0
0,0,0.5,0,0
1,0,1,0,0
0,1,1,0,0
0,0,0.5,0,0
0,0.5,0,0,0
0,0,0,0,0
1,1,1,0,0
1,1,1,0,0
1,0.5,1,0,0
0,1,0.5,0,0
0,1,0,0,0
0,0.5,0,0,0
0,0,0,0,0
0,0,0,0,0
0.5,0.5,1,0,0
0.5,0.5,0,0,0
0.5,0.5,0,0,0
0.5,0.5,0,0,0
1,0.5,0,0,0
0.5,1,0.5,0,0
0,0,0,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0.5,0,0,0,0
0,0.5,0,0,0
1,1,1,0,0
0,0.5,0,0,0
0,0.5,0,0,0
0,0,0,0,0
0,0,0.5,0,0
0,1,0,0,0
0,0.5,0,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0,1,0,0,0
1,1,1,0.5,0
0.5,0,0.5,0,0
1,1,1,0,0
0,0.5,0,0,0
1,1,0.5,0,0
0.5,0.5,0.5,0,0
0,0.5,0.5,0,0
0,0,0.5,0,0
0.5,0,0,0,0
0,0,1,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0.5,0,0
0.5,1,0.5,0,0
0,1,0.5,0,0
0.5,0.5,0.5,0,0
1,1,1,0,0
0.5,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0,0,0,0,0
0.5,1,0.5,0,0.5
0.5,0,0.5,0,0
0.5,1,0.5,0,0
1,0,1,0,0
0,0,0,0,0
0.5,0.5,0.5,0,0
1,0.5,0.5,0.5,0
1,0,0.5,0.5,0
1,1,1,1,0
1,0.5,0.5,0,0
0.5,1,1,0,0
0.5,0,0.5,0,0
0,1,0,0,0
0,1,1,0,0
0,0.5,0,0,0
0.5,0.5,1,0,0
0,0.5,0,0,0
0.5,1,1,0,0
0,0,0,0.5,0
0,0,0,0,0
0,0,0,0,0
0.5,0.5,0,0,0
